Id,Date,Time,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
O2LLnXem,09/06/2024,10:00,AFRICA - WORLD CHAMPIONSHIP,Sao Tome and Principe,Liberia,6.25,4.5,1.5,2.05,1.75,2.2,1.62
QykdG8nJ,09/06/2024,13:00,AFRICA - WORLD CHAMPIONSHIP,D.R. Congo,Togo,1.5,4.0,7.0,2.6,1.48,2.75,1.4
riSsF45c,09/06/2024,13:00,AFRICA - WORLD CHAMPIONSHIP,Djibouti,Ethiopia,9.5,4.5,1.36,2.0,1.85,2.38,1.53
StTvuhPJ,09/06/2024,13:00,AFRICA - WORLD CHAMPIONSHIP,Mauritania,Senegal,7.5,3.9,1.5,2.4,1.53,2.63,1.44
AaHHmDts,09/06/2024,13:00,AFRICA - WORLD CHAMPIONSHIP,Namibia,Tunisia,5.5,3.1,1.83,3.4,1.33,3.0,1.36
SIQF1DMA,09/06/2024,16:00,NORTH & CENTRAL AMERICA - WORLD CHAMPIONSHIP,Dominica,Jamaica,34.0,15.0,1.04,1.13,6.0,2.07,1.6
YemsIY6i,09/06/2024,16:00,NORTH & CENTRAL AMERICA - WORLD CHAMPIONSHIP,Saint Vincent and the Grenadines,El Salvador,8.0,7.0,1.25,1.5,2.5,2.0,1.75
rk1gl3nf,09/06/2024,18:00,NORTH & CENTRAL AMERICA - WORLD CHAMPIONSHIP,Barbados,Haiti,29.0,12.0,1.06,1.29,3.6,2.35,1.47
dIAJyQ2l,09/06/2024,18:00,NORTH & CENTRAL AMERICA - WORLD CHAMPIONSHIP,Grenada,Costa Rica,17.0,8.0,1.14,1.5,2.5,2.35,1.47
zksxPnJr,09/06/2024,20:00,NORTH & CENTRAL AMERICA - WORLD CHAMPIONSHIP,Bermuda,Honduras,13.0,7.0,1.2,1.4,2.88,2.0,1.75
I7Fy1tWa,09/06/2024,22:00,NORTH & CENTRAL AMERICA - WORLD CHAMPIONSHIP,Montserrat,Panama,41.0,17.0,1.04,1.17,5.0,2.63,1.44
xCnMsH0Q,09/06/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Alvarado,Arsenal Sarandi,1.95,3.2,4.0,2.88,1.4,2.5,1.5
d0VOrcoK,09/06/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Club A. Guemes,San Martin T.,3.1,2.63,2.75,4.0,1.25,2.75,1.4
