Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
Ea02OUZR,10/10/2024,01:00,AUSTRALIA & OCEANIA - WORLD CHAMPIONSHIP,New Caledonia,Papua New Guinea,1.65,3.55,4.55,1.98,1.65,2.03,1.75
rFjYI8ck,10/10/2024,04:00,AUSTRALIA & OCEANIA - WORLD CHAMPIONSHIP,Solomon Islands,Fiji,4.33,3.4,1.75,2.1,1.7,2.0,1.73
lntG2mSO,10/10/2024,05:00,WORLD - FRIENDLY INTERNATIONAL,Cyprus U19,Israel U19,5.8,3.65,1.5,1.85,1.8,1.95,1.81
pdnyHdj3,10/10/2024,06:00,UKRAINE - PERSHA LIGA,SC Poltava,UCSA,2.2,2.92,3.2,1.98,1.65,1.69,2.11
O8CxnuMt,10/10/2024,06:00,ALGERIA - U21 LEAGUE,CR Belouizdad U21,El Bayadh U21,1.31,4.6,7.7,1.55,2.15,1.82,1.94
CxVOG787,10/10/2024,06:10,ASIA - WORLD CHAMPIONSHIP,Australia,China,1.13,9.0,17.0,1.57,2.35,3.0,1.36
MRbN2kpe,10/10/2024,06:30,WORLD - FRIENDLY INTERNATIONAL,Myanmar,Sri Lanka,1.49,4.65,5.59,1.39,2.51,1.56,2.36
jetIpJgt,10/10/2024,06:30,WORLD - CLUB FRIENDLY,Winterthur (Sui),Wil (Sui),1.85,3.55,3.5,1.78,1.87,1.74,2.04
0dGy7Nyg,10/10/2024,07:00,TURKEY - TURKISH CUP,Osmaniyespor,Diyarbekirspor,1.73,3.3,4.2,2.08,1.73,1.84,1.92
Szhetb3m,10/10/2024,07:00,WORLD - CLUB FRIENDLY,Hannover (Ger),St. Pauli (Ger),2.47,3.65,2.47,1.62,2.2,1.53,2.32
hnHIai3N,10/10/2024,07:15,WORLD - CLUB FRIENDLY,Hamburger SV (Ger),Aarhus (Den),1.85,3.85,3.45,1.53,2.18,1.52,2.2
GdMoXGfM,10/10/2024,08:00,TURKEY - TURKISH CUP,Turk Metal 1963,Pazarspor,1.7,3.4,4.5,2.2,1.65,2.05,1.73
0MaSuowf,10/10/2024,08:00,TURKEY - TURKISH CUP,Tepecik,Serik Bld.,5.2,3.75,1.53,2.03,1.83,2.04,1.74
rmznkgnI,10/10/2024,08:00,WORLD - CLUB FRIENDLY,FC Koln (Ger),Bochum (Ger),2.45,3.7,2.5,1.57,2.25,1.52,2.37
GWp7AF3D,10/10/2024,08:00,WORLD - CLUB FRIENDLY,Hammarby (Swe),Sandviken (Swe),1.33,5.55,8.3,1.36,2.66,1.74,2.04
CxaTy1Os,10/10/2024,08:00,WORLD - CLUB FRIENDLY,SK Rapid (Aut),Horn (Aut),1.21,5.9,10.75,1.42,2.45,1.98,1.65
hb347z2n,10/10/2024,08:00,WORLD - CLUB FRIENDLY,Den Haag (Ned),NAC Breda (Ned),2.55,3.75,2.3,1.5,2.25,1.47,2.32
YmL4mxu3,10/10/2024,08:00,TURKEY - TURKISH CUP,Bulvarspor,Inegolspor,3.4,3.4,1.95,2.03,1.83,1.79,1.98
