home,away,liga,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Grêmio,Vitória,Brasil - Brasileirão Série A,56%,48%,D D D E V,D E V D D,D D E D D,D D V D D,D V D V V,D D V D E,0.73,1.25,0.14,0.88,1.11,0.63,20,38,0,2,2,2,0.67,0.88,0.43,1.33,1.13,1.57,33,25,43,20,38,0,47,38,57,27,50,0,1.32,1.41,1.21,1.39,1.26,1.53,24,13,13,2.76,2.75,2.75,1.12,1,1,1.65,1.75,1.75,65,75,75,12,25,25,29,13,13,35,25,25,1.29,1.35,1.35,1.46,1.4,1.4
Bahia,Corinthians,Brasil - Brasileirão Série A,56%,48%,D V D V D,D V V V V,V D D D E,V D D V D,V V E E D,D D D E D,1.76,2.63,1,0.88,1.63,0.22,53,88,22,2.82,2.38,3.22,1.59,1.75,1.44,1.24,0.63,1.78,71,50,89,24,50,0,6,0,11,47,63,33,1.45,1.59,1.32,1.43,1.11,1.71,18,0,0,2.18,2.11,2.11,0.82,0.33,0.33,1.35,1.78,1.78,35,22,22,18,0,0,59,78,78,18,11,11,1.48,1.28,1.28,1.44,1.65,1.65
Atlético-MG,Vasco,Brasil - Brasileirão Série A,56%,48%,E V D D E,V D E E D,E D V D V,V V V V E,V V E V E,V V D D D,1.38,1.25,1.5,1.35,1.89,0.75,31,25,38,3,3,3,1.44,1.38,1.5,1.56,1.63,1.5,69,75,63,19,13,25,19,13,25,44,50,38,1.45,1.5,1.41,1.27,1.28,1.26,41,25,25,2.71,2.25,2.25,1.18,0.75,0.75,1.53,1.5,1.5,53,50,50,24,13,13,29,38,38,41,25,25,1.32,1.2,1.2,1.69,1.92,1.92
Juventude,São,Brasil - Brasileirão Série A,56%,48%,E V D D V,E V V V E,D D D D E,V D V V V,V V V V D,D V D E E,1.33,2.25,0.29,1.76,2.11,1.38,33,63,0,2.6,2.13,3.14,1.27,1.63,0.86,1.33,0.5,2.29,67,50,86,27,50,0,7,0,14,40,75,0,1.34,1.36,1.31,1.54,1.44,1.66,53,38,38,2.59,3.13,3.13,1.53,1.63,1.63,1.06,1.5,1.5,59,75,75,35,25,25,18,13,13,59,63,63,1.42,1.37,1.37,1.2,1.29,1.29
Fortaleza,Atlético-GO,Brasil - Brasileirão Série A,56%,48%,V V V D V,V V V V V,V D E D D,D D D D E,D D E D E,D D E E V,1.81,2.33,1.14,0.65,0.25,1,50,67,29,2.19,2.11,2.29,1.19,1.56,0.71,1,0.56,1.57,50,56,43,31,44,14,25,0,57,75,100,43,1.24,1.42,1.02,1.63,1.32,2.02,12,22,22,2.29,2.11,2.11,0.82,0.89,0.89,1.47,1.22,1.22,59,56,56,12,22,22,35,33,33,35,33,33,1.45,1.43,1.43,1.44,1.45,1.45
RB,Athletico-PR,Brasil - Brasileirão Série A,56%,48%,D D V E D,V V V D E,D D E D D,D V D V D,D D E E V,V V D E D,1.38,2.29,0.67,1.56,1.75,1.38,38,71,11,2.56,2.71,2.44,1.31,1.71,1,1.25,1,1.44,75,86,67,13,14,11,13,0,22,50,86,22,1.42,1.4,1.44,1.46,1.46,1.45,44,38,38,2.25,1.88,1.88,1.25,0.88,0.88,1,1,1,50,38,38,31,25,25,19,38,38,44,38,38,1.5,1.26,1.26,1.27,1.48,1.48
Cuiabá,Fluminense,Brasil - Brasileirão Série A,56%,48%,V E D E E,D E E V E,V E E V D,E D E D D,E D D D E,E D D D D,1.06,0.75,1.38,0.5,0.88,0.13,25,13,38,2.44,2,2.88,1.13,0.88,1.38,1.31,1.13,1.5,44,25,63,25,38,13,44,63,25,44,25,63,1.18,1.18,1.17,1.62,1.31,1.93,6,0,0,2.25,2,2,0.75,0.38,0.38,1.5,1.63,1.63,56,38,38,0,0,0,44,63,63,44,25,25,1.3,1.16,1.16,1.6,1.67,1.67
River,Lanús,Argentina - Campeonato Argentino,44%,38%,D V D V V,V V V D V,D D V D E,V E V E D,V V D D E,E E D V V,1.8,2.18,1.33,1.63,1.4,1.89,50,64,33,2.7,3.18,2.11,1.85,2.36,1.22,0.85,0.82,0.89,50,64,33,35,36,33,20,0,44,60,73,44,1.96,2.32,1.52,1.32,1.19,1.48,47,56,56,2.37,2.22,2.22,1.37,1.44,1.44,1,0.78,0.78,42,33,33,32,44,44,26,22,22,63,67,67,1.51,1.55,1.55,1.45,1.67,1.67
Central,Platense,Argentina - Campeonato Argentino,44%,38%,D D D D D,D D E D E,D D D D E,D V E E D,V E V D E,D E D V E,0.58,0.67,0.5,1.21,1.56,0.9,11,11,10,2.68,2.89,2.5,0.84,1.11,0.6,1.84,1.78,1.9,42,44,40,21,33,10,47,44,50,32,22,40,1.1,1.2,1,1.75,1.63,1.85,26,20,20,1.68,2.1,2.1,0.68,0.6,0.6,1,1.5,1.5,37,40,40,47,30,30,47,50,50,32,30,30,1.35,1.33,1.33,1.35,1.55,1.55
Estudiantes,Unión,Argentina - Campeonato Argentino,44%,38%,D E D V V,E V E E V,D D V V D,V V V E V,V V V D E,V E V E D,1.71,2,1.4,1.74,1.7,1.78,48,55,40,2.1,2.18,2,1.33,1.73,0.9,0.76,0.45,1.1,43,36,50,48,64,30,19,9,30,57,64,50,1.77,2.16,1.33,1.38,1.15,1.62,47,44,44,2.05,1.67,1.67,1.21,1,1,0.84,0.67,0.67,47,44,44,47,56,56,21,22,22,47,56,56,1.56,1.27,1.27,1.26,1.41,1.41
