home,away,liga,data,hora,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Vitória,Cuiabá,Brasil - Brasileirão Série A,"Sáb, 03 Agosto 2024",16:00,54%,46%,V D D D D,D D V D V,V D D D V,D D V E D,D D D E E,V E E V D,0.9,1,0.8,0.94,0.6,1.38,25%,30%,20%,2.7,2.8,2.6,1.1,1.2,1,1.6,1.6,1.6,60%,60%,60%,15%,0%,30%,30%,40%,20%,35%,40%,30%,1.22,1.23,1.22,1.48,1.49,1.48,22%,10%,38%,2.39,2,2.88,1.06,0.8,1.38,1.33,1.5,1.5,44%,30%,63%,22%,30%,13%,44%,60%,25%,39%,20%,63%,1.24,1.3,1.17,1.58,1.3,1.93
Vasco,RB Bragantino,Brasil - Brasileirão Série A,"Sáb, 03 Agosto 2024",19:00,54%,46%,D D V V V,V V E V E,D D V V D,D V D D V,D V V V V,D D E D D,1.21,1.89,0.6,1.39,2.11,0.67,37%,56%,20%,2.58,3.11,2.1,1.05,1.56,0.6,1.53,1.56,1.5,47%,56%,40%,21%,33%,10%,37%,22%,50%,37%,56%,20%,1.27,1.42,1.14,1.65,1.49,1.79,39%,67%,11%,2.39,2.33,2.44,1.22,1.44,1,1.17,1.44,1.44,67%,67%,67%,17%,22%,11%,17%,11%,22%,50%,78%,22%,1.4,1.36,1.44,1.46,1.47,1.45
Criciúma,Atlético-MG,Brasil - Brasileirão Série A,"Sáb, 03 Agosto 2024",20:00,54%,46%,V E D D E,E E V E V,V D D D D,V V E V D,V V V D E,E D V D V,1.17,1.22,1.11,1.56,1.6,1.5,28%,22%,33%,3,2.89,3.11,1.44,1.33,1.56,1.56,1.56,1.56,89%,89%,89%,11%,11%,11%,0%,0%,0%,61%,67%,56%,1.44,1.53,1.34,1.64,1.72,1.56,39%,40%,38%,2.94,2.9,3,1.5,1.5,1.5,1.44,1.5,1.5,67%,70%,63%,22%,20%,25%,17%,10%,25%,50%,60%,38%,1.42,1.43,1.41,1.26,1.26,1.26
Atlético-GO,Botafogo,Brasil - Brasileirão Série A,"Sáb, 03 Agosto 2024",20:00,54%,46%,D E D D D,E D D E D,D D D D E,D E V V V,D V V V V,E V V E D,0.6,0.33,0.82,2,2.2,1.8,10%,0%,18%,2.35,2.44,2.27,0.8,0.78,0.82,1.55,1.67,1.45,60%,67%,55%,10%,0%,18%,35%,33%,36%,35%,44%,27%,1.43,1.49,1.38,1.41,1.38,1.44,60%,70%,50%,2.5,2.4,2.6,1.55,1.6,1.5,0.95,1.1,1.1,55%,40%,70%,40%,50%,30%,5%,10%,0%,65%,60%,70%,1.39,1.63,1.15,1.3,1.15,1.44
São Paulo,Flamengo,Brasil - Brasileirão Série A,"Sáb, 03 Agosto 2024",21:30,54%,46%,D E E V D,E V V V V,D E D V D,V V V D E,V V D E V,V V D V E,1.6,2,1.2,2.11,2.2,2,45%,60%,30%,2.45,2.3,2.6,1.4,1.5,1.3,1.05,0.8,1.3,55%,50%,60%,35%,40%,30%,25%,20%,30%,55%,60%,50%,1.38,1.49,1.28,1.2,1.16,1.25,63%,70%,56%,2.79,2.6,3,1.79,1.6,2,1,1,1,74%,70%,78%,21%,20%,22%,11%,10%,11%,58%,60%,56%,1.64,1.67,1.61,1.12,1.13,1.1
Magdeburg,Elversberg,Alemanha - 2ª Divisão da Alemanha,"Sáb, 03 Agosto 2024",08:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Hertha Berlin,Paderborn,Alemanha - 2ª Divisão da Alemanha,"Sáb, 03 Agosto 2024",08:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Karlsruher SC,Nürnberg,Alemanha - 2ª Divisão da Alemanha,"Sáb, 03 Agosto 2024",08:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Hannover 96,Jahn Regensburg,Alemanha - 2ª Divisão da Alemanha,"Sáb, 03 Agosto 2024",08:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Schalke 04,Eintracht Braunschweig,Alemanha - 2ª Divisão da Alemanha,"Sáb, 03 Agosto 2024",15:30,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
