home,away,liga,data,hora,btts_liga,over_2.5_liga,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Qarabağ,Ludogorets,Europa -  dos Campeões,"Ter, 06 Agosto 2024",13:00,43%,56%,V V,V,V,D V D V,V V,D D,3,3,3,1.5,3,0,100%,100%,100%,3.5,5,2,3.5,5,2,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,2.62,3.28,1.96,0.66,0.59,0.71,50%,100%,0%,2,3,1,1.25,2.5,0,0.75,1,1,25%,50%,0%,25%,50%,0%,50%,0%,100%,50%,100%,0%,1.4,1.37,1.44,1.4,1.18,1.63
Malmö FF,PAOK,Europa -  dos Campeões,"Ter, 06 Agosto 2024",14:00,43%,56%,D V,V,D,V V,V,V,1.5,3,0,3,3,3,50%,100%,0%,5,5,5,3,4,2,2,1,3,100%,100%,100%,0%,0%,0%,0%,0%,0%,50%,100%,0%,1.72,1.9,1.54,0.96,0.63,1.29,100%,100%,100%,3,5,1,2,3,1,1,0,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,100%,100%,100%,1.39,1.85,0.92,0.96,1.04,0.87
Midtjylland,Ferencváros,Europa -  dos Campeões,"Ter, 06 Agosto 2024",14:15,43%,56%,V V,V,V,V V,V,V,3,3,3,3,3,3,100%,100%,100%,2,1,3,2,1,3,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,1.84,1.54,2.14,1.2,1.09,1.31,100%,100%,100%,4,5,3,3.5,5,2,0.5,1,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,100%,100%,100%,1.31,1.65,0.97,0.74,0.69,0.78
Dínamo Kiev,Rangers,Europa -  dos Campeões,"Ter, 06 Agosto 2024",15:00,43%,56%,V V,V,V,,,,3,3,3,0,0,0,100%,100%,100%,5.5,8,3,4.5,6,3,1,2,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,50%,0%,100%,2.26,2.88,1.63,0.86,0.79,0.93,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Sparta Praga,FCSB,Europa -  dos Campeões,"Ter, 06 Agosto 2024",15:00,43%,56%,V V,V,V,V E V V,E V,V V,3,3,3,2.5,2,3,100%,100%,100%,4,6,2,3,4,2,1,2,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,100%,100%,100%,2.42,1.97,2.87,0.92,0.83,1,75%,50%,100%,3.75,3,4.5,3.25,2.5,4,0.5,0.5,0.5,50%,50%,50%,50%,50%,50%,0%,0%,0%,75%,50%,100%,2.02,2.21,1.84,0.76,0.63,0.89
Lille,Fenerbahce,Europa -  dos Campeões,"Ter, 06 Agosto 2024",15:30,43%,56%,,,,V V,V,V,0,0,0,3,3,3,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,100%,100%,100%,5,3,7,3,2,4,2,3,3,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.53,1.49,1.57,1.29,1.23,1.34
Salzburg,Twente,Europa -  dos Campeões,"Ter, 06 Agosto 2024",15:45,43%,56%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Panevėžys,Maccabi Tel Aviv,Europa -  Europa,"Ter, 06 Agosto 2024",13:30,43%,53%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Petrocub,The New Saints,Europa -  Europa,"Ter, 06 Agosto 2024",14:00,43%,53%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Sacachispas,Dock Sud,Argentina - Prim B Metro,"Ter, 06 Agosto 2024",15:00,42%,35%,D E E D D,E D E D D,D E D V D,E V D D E,E D E V V,V D E V E,0.96,1.36,0.57,1.57,1.86,1.29,25%,36%,14%,2.21,2.36,2.07,0.64,1,0.29,1.57,1.36,1.79,29%,43%,14%,29%,36%,21%,54%,29%,79%,32%,43%,21%,1.08,1.22,0.95,1.39,1.33,1.46,43%,50%,36%,2.29,2.29,2.29,1.29,1.43,1.14,1,1.14,1.14,50%,50%,50%,39%,50%,29%,21%,14%,29%,57%,79%,36%,1.38,1.53,1.22,1.38,1.18,1.57
